timestamp,text,username,location,following,followers,about,lang,likes,retweets
2020-12-16 05:47:44,b'RT @WKwinn: Werner is low budget Lingard\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#WOLCHE https://t.co/jFXLWRPlUN',b'The_T_shirt_G',b'Around the globe',3692,10385,b'Entrepreneur / Engineer / Aspiring Digital marketer and influencer/ Manchester United is in the blood\xe2\x99\xa5\xef\xb8\x8f / Tennis is the best\xf0\x9f\x8e\xbe/ Federer is the one',en,0,113
2020-12-16 05:47:39,"b'@CFCBlues_com Wolves is a strong team, so we need players who have strength. Chelsea should have started kovacic an\xe2\x80\xa6 https://t.co/Ud0SGaNwXO'",b'_anitaebube1',b'',72,24,b'A graduate \xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x8e\x93| A Deltan \xf0\x9f\x92\x95| A proverbs 31 woman \xf0\x9f\x98\x98',en,0,0
2020-12-16 05:47:36,b'Lampard cost us the 3 points menh! Playing pulisic &amp;werner out of position\nStarting havertz over kovacic. #WOLCHE  @ChelseaFC',b'Alexthuku14',"b'Nairobi, Kenya'",1822,4472,b'On it...',en,1,0
2020-12-16 05:47:27,b'Me looking at Chelsea keeper @Mendy for being the best goalkeeper in the world\xf0\x9f\x98\x82\n#WOLCHE #WOLCHE https://t.co/L55OkiMkm2',b'Wildeffizy',b'Nigeria ',1170,357,"b""I thank\xf0\x9f\x99\x8fGod for creating\xf0\x9f\x99\x87me!.. But the\xf0\x9f\x91\xb0 Angel\xf0\x9f\xa4\x94that brought me to Nigeria\xf0\x9f\x87\xb3\xf0\x9f\x87\xacI don't have any\xf0\x9f\x99\x84\xf0\x9f\x92\xafword for him\xf0\x9f\x98\xb5until judgement day""",en,0,0
2020-12-16 05:47:04,b'#WOLCHE \n\nMendy                               Wendy https://t.co/p8VtS6TiCo',b'DarlingKof1',b'Near you fam!',2868,1464,b'love always',en,1,0
2020-12-16 05:47:00,"b'RT @EnqGG0CvkE6oISo: Beware of the Coronavirus vaccine, because it is more dangerous than the disease itself, you can see the real danger.h\xe2\x80\xa6'",b'sandeep011982',"b'Ghaziabad, India'",269,21,b'hi...................',en,0,39
2020-12-16 05:46:53,b'RT @Aikoriogie69: Rashford and Bruno masterminding United 3points against Sheffield tomorrow to go top of ChelSHIT #WOLCHE https://t.co/VmW\xe2\x80\xa6',b'Sir_joseph_jr',"b'Lusaka, Zambia'",430,409,b'im a kembo',en,0,4
2020-12-16 05:46:52,"b""RT @premierleague: Each of Wolves' last 83 #PL goals (excl. own-goals have been scored by non-British players \xe2\x80\x93 only Arsenal have had a lon\xe2\x80\xa6""",b'NanaAkwasiOpok5',b'Bremang UGC \xf0\x9f\x92\xab',914,837,b'The Best Sports Show Is Live On Facebook Angel Fm Kumasi 96.1 \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',en,0,72
2020-12-16 05:46:49,b'RT @ChelseaFC: FT. #WOLCHE https://t.co/A0lqCPy39T',b'ajwadismyname',b'Tanjung Malim',295,406,"b""need a freakin' miracle""",und,0,981
2020-12-16 05:46:42,b'RT @PrinceIkerave: Me as mendy:\nMake I show you my kepabilities \n#WOLCHE #Lampard #Werner #Havertz https://t.co/qJfx8GNkUD',b'GUE_VARO',"b'Toronto, Ontario '",4957,2202,"b'Domine , Quo Vadis ? Each of us will become a bright candle to remind us that light \xf0\x9f\x92\xa1 will prevail over darkness and not the other way round.'",en,0,56
2020-12-16 05:45:44,b'RT @PrinceIkerave: Me as mendy:\nMake I show you my kepabilities \n#WOLCHE #Lampard #Werner #Havertz https://t.co/qJfx8GNkUD',b'itz_mracks',"b'Abuja, Nigeria'",1229,1094,"b""There's nothing to say just follow ffs! United\xe2\x9d\xa4\xef\xb8\x8f""",en,0,56
2020-12-16 05:45:41,b'RT @ChelseaFC: Wolves v Chelsea.\nThe Pack v The Pride. \n\nCOME ON YOU BLUES! \xf0\x9f\x99\x8c #WOLCHE https://t.co/kpIiL42dto',b'EdwardTekpetey',"b'Accra, Ghana'",857,212,b'THERE IS ALWAYS HOPE',en,0,1773
2020-12-16 05:45:39,b'RT @premierleague: The late show \xf0\x9f\x98\x85\n\n#WOLCHE https://t.co/wrj3qopQ0x',b'MusaNkwangu',b'',118,72,b'',en,0,492
2020-12-16 05:45:34,b'RT @WeInTheCCC: In Christ We Stand...\nTeach us how it\xe2\x80\x99s been done in heaven \nSend down thy holy Angels \nSo we might Conquer satan on earth.\xe2\x80\xa6',b'Agbejoro_',"b'Lagos, Nigeria'",2973,4543,"b'Lawyer, Property Consultant, Farmer, Poet, Author, Teacher, Gentleman and an Avid reader. rare package. handle with care'",en,0,8
2020-12-16 05:45:15,b'RT @_nseobong: Chelsea has caught form L\nLampard is a progressive manager L\nHarvetz is the hybrid of zidane and Ozil L\nPulisic is better th\xe2\x80\xa6',b'isharufeTimoth2',b'At your door ',3352,2205,"b""$\xe2\x82\xb3\xe2\x82\xb2\xc6\x97\xe2\x82\xae\xe2\x82\xae\xe2\x82\xb3\xc9\x8c\xc6\x97\xc9\x84$\xe2\x99\x90\n\xe2\x82\xa6\xc3\x98\xc9\x83\xc3\x98\xc6\x89\xc2\xa5 \xc6\x97$ \xe2\x82\xb1\xc9\x86\xc9\x8c\xe2\x82\xa3\xc9\x86\xe2\x82\xac\xe2\x82\xae \xe2\x82\xb3\xe2\x82\xa6\xc6\x89 \xc6\x97\xe2\x82\xa3 \xc2\xa5\xc3\x98\xc9\x84 \xe2\x82\xae\xc4\xa6\xc6\x97\xe2\x82\xa6\xd4\x9e \xc2\xa5\xc3\x98\xc9\x84'\xc9\x8c\xc9\x86 \xe2\x82\xb1\xc9\x86\xc9\x8c\xe2\x82\xa3\xc9\x86\xe2\x82\xac\xe2\x82\xae \xe2\x82\xae\xc4\xa6\xc9\x86\xe2\x82\xa6 \xc2\xa5\xc3\x98\xc9\x84'\xc9\x8c\xc9\x86 \xe2\x82\xa6\xc3\x98\xc9\x83\xc3\x98\xc6\x89\xc2\xa5.\xe2\x82\xac\xc9\x84\xe2\x82\xb1\xe2\x82\xac\xe2\x82\xb3\xd4\x9e\xc9\x86$ \xe2\x82\xb3$$\xc3\x98\xe2\x82\xac\xc6\x97\xe2\x82\xb3\xe2\x82\xae\xc6\x97\xc3\x98\xe2\x82\xa6  \xe2\xb2\x98\xc2\xa5 \xc9\x83\xe2\xb1\xa0\xc3\x98\xc3\x98\xc6\x89 \xc6\x97$ \xc9\x8c\xc9\x86\xc6\x89 \xe2\xb2\x98\xe2\x82\xb3\xe2\x82\xa6\xe2\x82\xac\xc4\xa6\xc9\x86$\xe2\x82\xae\xc9\x86\xc9\x8c \xc9\x84\xe2\x82\xa6\xc6\x97\xe2\x82\xae\xc9\x86\xc6\x89 \xc6\x97$ \xe2\xb2\x98\xc2\xa5 \xc9\x83\xe2\xb1\xa0\xc3\x98\xc3\x98\xc6\x89 \xf0\x9f\x94\xa5 @ManUtd""",en,0,50
2020-12-16 05:45:12,"b""Chelsea FC cut my Winning ticket\n\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5\xf0\x9f\x98\xa5but am not blaming them \nAm very sure my village people we're standing at my ga\xe2\x80\xa6 https://t.co/4IOjdZZicm""",b'Wildeffizy',b'Nigeria ',1170,357,"b""I thank\xf0\x9f\x99\x8fGod for creating\xf0\x9f\x99\x87me!.. But the\xf0\x9f\x91\xb0 Angel\xf0\x9f\xa4\x94that brought me to Nigeria\xf0\x9f\x87\xb3\xf0\x9f\x87\xacI don't have any\xf0\x9f\x99\x84\xf0\x9f\x92\xafword for him\xf0\x9f\x98\xb5until judgement day""",en,0,0
2020-12-16 05:45:00,b'RT @franky_kilungu: #WOLCHE Goodnight Chelsea fans https://t.co/jB4xegbtkm',b'KipkoechEzra6',"b'Nairobi, Kenya'",2634,2870,b'Mood Tyrant @EAZYIEMTAI @Brother/@Son/ @Zaddy to be & @Husband of course',en,0,4
2020-12-16 05:44:57,b'RT @ChelseaFC: FT. #WOLCHE https://t.co/A0lqCPy39T',b'BWattanga',"b'kisumu,kenya'",4993,2265,b'always striving to make the best out of every situation regardless  of the circumstances.optimist all the way',und,0,981
2020-12-16 05:44:52,b'RT @WKwinn: Werner is low budget Lingard\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#WOLCHE https://t.co/jFXLWRPlUN',b'vianroberts',b'Uganda',3910,4242,"b'Araali wa Adyeeri\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe || praise the lord my soul, praise the lord O my soul.||\n#GGMU.|| Peace love and \xf0\x9f\x97\xbd ||#Pan- #Africanist || chemist'",en,0,113
2020-12-16 05:44:52,"b""RT @ChelseaFC: Goal for Wolves. Podence. \n\n\xf0\x9f\x90\xba 1-1 \xf0\x9f\x94\xb5 [66'] #WOLCHE""",b'OfficialMuhamm8',b'',2243,226,b'O. MUHAMMAD NASIR.. ADEDOYIN\nD.O.G (definiton of grace)\nIG: bambi_beek\nGMAIL:nasirudeendoyin@gmail.com\n   ENI_OLORUN DA',en,0,190
2020-12-16 05:44:41,b'RT @premierleague: Chelsea have lost just one of their last 20 #PL matches played on a Tuesday (W12 D7)\n\n#WOLCHE https://t.co/DoSBrenGHC',b'Elmainari4',"b'Bauchi, Nigeria'",212,101,"b'simple life , PDP member and also a nice guy .'",en,0,334
2020-12-16 05:44:37,"b""RT @ChelseaFCinUSA: N'Golo Kant\xc3\xa9. \n\nThat's it, that's the tweet. #WOLCHE""",b'EdwardTekpetey',"b'Accra, Ghana'",857,212,b'THERE IS ALWAYS HOPE',en,0,99
2020-12-16 05:44:36,b'RT @1904online: Most of all from idiotic Chelsea-fans \n#WOLCHE https://t.co/KA6fi7fbq5',b'LeverkusenID',b'Indonesia',141,1033,"b'Bayer 04 Leverkusen Indonesia. #Werkself #St\xc3\xa4rkeBayer #RotUndSchwarz | Gabung Leverkusener, daftar disini \xc2\xbb https://t.co/IM2yIukjPd\xe2\x80\xa6'",en,0,5
2020-12-16 05:44:30,b'RT @_Sufy2: Mendy to Lampard: E be like say my clean sheet bundle don expire ooooo\n\n#WOLCHE https://t.co/nzji8YXUlx',b'ugoo_orji',"b'Enugu, Nigeria'",4214,3315,"b'Freelance writer, free-thinker and a Blogger @tecrada_com. #GGMU! I stan EM... Proud Nigerian! Nwa 042!'",en,0,108
2020-12-16 05:44:06,"b'RT @jakeheasman: I\xe2\x80\x99m stunned. Lampard just stood on the touchline next to Werner and watched him put in a disgraceful performance, and not\xe2\x80\xa6'",b'aj_aaronic',"b'Tema, Ghana'",1089,1211,b'Black Roses',en,0,305
2020-12-16 05:43:26,b'A massive win for Wolves at the death! Too Bad. Two straight lose\n\n#WOLCHE https://t.co/n5AgFNHMA6',b'phcnstaffnation',b'',90,91,b'',en,0,0
2020-12-16 05:43:06,b'RT @okorieebube1: My best friend \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\x82\nPlease retweet \xf0\x9f\xa5\xba\xf0\x9f\x99\x8f\n\n#WAYTOOBIG #starxburnaboy #Chelsea #kik #endsars #FreeOmahLay #bonestraight #EPL #t\xe2\x80\xa6',b'hrt_brk_king',b'\xf0\x9f\x87\xa6\xf0\x9f\x87\xaa',146,85,"b'Magnanimous|crypto_hustler,|Gemini!! follow me and I follow bk instantly\xf0\x9f\x92\x8e\xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xf0\x9f\x87\xa6\xf0\x9f\x87\xaa'",en,0,3
2020-12-16 05:42:53,"b'RT @premierleague: GOAL Wolves 2-1 Chelsea (90+5 mins)\n\nWolves take a late, late lead! An incisive counter attack ends with Pedro Neto gett\xe2\x80\xa6'",b'OfficialMuhamm8',b'',2243,226,b'O. MUHAMMAD NASIR.. ADEDOYIN\nD.O.G (definiton of grace)\nIG: bambi_beek\nGMAIL:nasirudeendoyin@gmail.com\n   ENI_OLORUN DA',en,0,439
